id;createdondate;name;brand;category;details;expected_price;userid
1;2023-04-17T06:52:00;Montana Technician orange;Fish back up Kids;multi-byte;Forint Cotton Shoes;eyeballs navigate;26146
2;2023-04-17T19:01:57;Agent Engineer;Directives;quantifying;Borders scale Open-architected;haptic projection Fully-configurable;80682
3;2023-04-17T16:32:38;Bedfordshire moratorium;Guadeloupe;Arkansas Granite;benchmark GB;foreground content Total;16907
4;2023-04-17T10:20:00;Forward mobile North Carolina;Home Loan Account Rand Loti systematic;magenta;Idaho ADP Angola;connecting Industrial connecting;43674
5;2023-04-17T08:47:51;THX Planner connect;parse Shoes;Personal Loan Account one-to-one;Home Loan Account Tunisian Dinar plug-and-play;transmitting Specialist Road;48352
6;2023-04-17T15:37:16;Incredible Plastic Mouse Legacy;fault-tolerant;TCP;Decentralized;Iowa;81501
7;2023-04-17T13:57:24;target Credit Card Account Manager;Uruguay;Technician Developer;multi-tasking;Operations B2C transform;30507
8;2023-04-17T06:34:27;SMTP;Down-sized Jewelery Soap;Handmade Frozen Chips Generic Frozen Mouse;reinvent methodologies sensor;Operations;69551
9;2023-04-16T21:07:36;intuitive;Bacon bypassing;driver white;Fantastic Wooden Chair TCP;Global red;44135
10;2023-04-17T02:01:05;connect Refined Soft Mouse Berkshire;Steel Licensed;Grove multi-tasking;solid state Representative;discrete vertical;7605
